;Date;Open;High;Low;Close;Adj Close;Volume;Action
53;2020-03-26;1.0888;1.1025;1.0877;1.089;1.089;0.0;hold
54;2020-03-27;1.1046;1.1086;1.0955;1.1048;1.1048;0.0;hold
55;2020-03-30;1.1135;1.1138;1.1012;1.1139;1.1139;0.0;hold
56;2020-03-31;1.1028;1.1044;1.093;1.103;1.103;0.0;hold
57;2020-01-04;1.1028;1.1038;1.0919;1.1027;1.1027;0.0;hold
58;2020-02-04;1.0951;1.0963;1.0844;1.0954;1.0954;0.0;hold
59;2020-03-04;1.0844;1.0859;1.0776;1.0847;1.0847;0.0;hold
60;2020-06-04;1.0808;1.0834;1.0769;1.0807;1.0807;0.0;hold
61;2020-07-04;1.0802;1.0923;1.0791;1.0804;1.0804;0.0;hold
62;2020-08-04;1.0894;1.0896;1.0832;1.0895;1.0895;0.0;hold
63;2020-09-04;1.0861;1.0944;1.0842;1.0864;1.0864;0.0;hold
64;2020-10-04;1.0926;1.0954;1.0921;1.0927;1.0927;0.0;hold
65;2020-04-13;1.0931;1.0969;1.0894;1.0933;1.0933;0.0;hold
66;2020-04-14;1.092;1.0984;1.0916;1.0923;1.0923;0.0;hold
67;2020-04-15;1.0982;1.0989;1.0858;1.0985;1.0985;0.0;hold
68;2020-04-16;1.0904;1.0908;1.083;1.0905;1.0905;0.0;hold
69;2020-04-17;1.086;1.0893;1.0813;1.0858;1.0858;0.0;hold
70;2020-04-20;1.0866;1.0897;1.0843;1.0867;1.0867;0.0;hold
71;2020-04-21;1.0864;1.088;1.0818;1.0865;1.0865;0.0;hold
72;2020-04-22;1.0857;1.0883;1.0824;1.0856;1.0856;0.0;hold
73;2020-04-23;1.0807;1.0844;1.0758;1.081;1.081;0.0;hold
74;2020-04-24;1.0776;1.0818;1.0728;1.0777;1.0777;0.0;hold
75;2020-04-27;1.0824;1.086;1.0812;1.0824;1.0824;0.0;hold
76;2020-04-28;1.0827;1.089;1.0811;1.0825;1.0825;0.0;hold
77;2020-04-29;1.0832;1.0874;1.0832;1.0837;1.0837;0.0;hold
78;2020-04-30;1.0877;1.097;1.0836;1.0877;1.0877;0.0;hold
79;2020-01-05;1.0945;1.1016;1.0935;1.0945;1.0945;0.0;hold
80;2020-04-05;1.0957;1.0958;1.0901;1.096;1.096;0.0;hold
81;2020-05-05;1.0905;1.0921;1.0827;1.0904;1.0904;0.0;hold
82;2020-06-05;1.084;1.0845;1.0784;1.0839;1.0839;0.0;hold
83;2020-07-05;1.0801;1.0816;1.0768;1.0799;1.0799;0.0;hold
84;2020-08-05;1.0837;1.0873;1.0816;1.0837;1.0837;0.0;hold
85;2020-11-05;1.084;1.0853;1.0804;1.084;1.084;0.0;hold
86;2020-12-05;1.0809;1.088;1.0785;1.0809;1.0809;0.0;hold
87;2020-05-13;1.0846;1.0893;1.0831;1.0847;1.0847;0.0;hold
88;2020-05-14;1.0822;1.0825;1.0777;1.0824;1.0824;0.0;hold
89;2020-05-15;1.0806;1.085;1.0791;1.0807;1.0807;0.0;hold
90;2020-05-18;1.0819;1.0913;1.0801;1.0821;1.0821;0.0;hold
91;2020-05-19;1.0916;1.0975;1.0903;1.0915;1.0915;0.0;hold
92;2020-05-20;1.093;1.0999;1.0929;1.0928;1.0928;0.0;hold
93;2020-05-21;1.0979;1.1009;1.0939;1.0983;1.0983;0.0;hold
94;2020-05-22;1.0952;1.0955;1.0886;1.0953;1.0953;0.0;hold
95;2020-05-25;1.0909;1.0915;1.0872;1.0908;1.0908;0.0;hold
96;2020-05-26;1.0901;1.0992;1.0898;1.0903;1.0903;0.0;hold
97;2020-05-27;1.0981;1.103;1.0937;1.0982;1.0982;0.0;hold
98;2020-05-28;1.1015;1.1072;1.0993;1.1017;1.1017;0.0;hold
99;2020-05-29;1.1078;1.1145;1.107;1.1079;1.1079;0.0;hold
100;2020-01-06;1.1115;1.1152;1.1101;1.1119;1.1119;0.0;hold
101;2020-02-06;1.1126;1.1196;1.1116;1.1126;1.1126;0.0;hold
102;2020-03-06;1.1186;1.125;1.1181;1.1189;1.1189;0.0;hold
103;2020-04-06;1.1237;1.1361;1.1196;1.1236;1.1236;0.0;hold
104;2020-05-06;1.1337;1.1384;1.1286;1.1338;1.1338;0.0;hold
105;2020-08-06;1.1316;1.1319;1.127;1.132;1.132;0.0;hold
106;2020-09-06;1.1303;1.1363;1.1244;1.1306;1.1306;0.0;hold
107;2020-10-06;1.1334;1.1389;1.1334;1.1332;1.1332;0.0;hold
108;2020-11-06;1.1369;1.14;1.1326;1.1365;1.1365;0.0;hold
109;2020-12-06;1.1289;1.134;1.1235;1.1288;1.1288;0.0;hold
110;2020-06-15;1.1254;1.1292;1.1229;1.1252;1.1252;0.0;hold
111;2020-06-16;1.1338;1.135;1.1232;1.1338;1.1338;0.0;hold
112;2020-06-17;1.1265;1.1297;1.121;1.1266;1.1266;0.0;hold
113;2020-06-18;1.1241;1.1263;1.1205;1.1243;1.1243;0.0;hold
114;2020-06-19;1.1207;1.1253;1.1174;1.1211;1.1211;0.0;hold
115;2020-06-22;1.1179;1.1268;1.1176;1.1178;1.1178;0.0;hold
116;2020-06-23;1.1277;1.1349;1.1234;1.128;1.128;0.0;hold
117;2020-06-24;1.1314;1.1326;1.126;1.1312;1.1312;0.0;hold
118;2020-06-25;1.1251;1.126;1.1191;1.1251;1.1251;0.0;hold
119;2020-06-26;1.1221;1.1239;1.1198;1.1222;1.1222;0.0;hold
120;2020-06-29;1.1224;1.1289;1.1221;1.1226;1.1226;0.0;hold
121;2020-06-30;1.1247;1.1262;1.1192;1.1247;1.1247;0.0;hold
122;2020-01-07;1.1234;1.1275;1.1189;1.1236;1.1236;0.0;hold
123;2020-02-07;1.1253;1.1303;1.1228;1.1251;1.1251;0.0;hold
124;2020-03-07;1.124;1.1251;1.1221;1.1238;1.1238;0.0;hold
125;2020-06-07;1.1249;1.1347;1.1249;1.1247;1.1247;0.0;hold
126;2020-07-07;1.131;1.1337;1.126;1.1313;1.1313;0.0;hold
127;2020-08-07;1.1273;1.1346;1.1265;1.1275;1.1275;0.0;hold
128;2020-09-07;1.1338;1.1373;1.1288;1.1339;1.1339;0.0;hold
129;2020-10-07;1.1289;1.1325;1.1257;1.1288;1.1288;0.0;hold
130;2020-07-13;1.1309;1.137;1.1305;1.131;1.131;0.0;hold
131;2020-07-14;1.1346;1.1407;1.1326;1.1346;1.1346;0.0;hold
132;2020-07-15;1.1411;1.1453;1.1394;1.1411;1.1411;0.0;hold
133;2020-07-16;1.1417;1.1443;1.138;1.1417;1.1417;0.0;hold
134;2020-07-17;1.1387;1.1442;1.1379;1.1392;1.1392;0.0;hold
135;2020-07-20;1.144;1.1468;1.1405;1.1443;1.1443;0.0;hold
136;2020-07-21;1.1458;1.1498;1.1426;1.1459;1.1459;0.0;buy
137;2020-07-22;1.1535;1.1601;1.1509;1.1534;1.1534;0.0;hold
138;2020-07-23;1.1567;1.1624;1.1542;1.1569;1.1569;0.0;hold
139;2020-07-24;1.1595;1.164;1.1582;1.1596;1.1596;0.0;hold
140;2020-07-27;1.1653;1.178;1.1653;1.1653;1.1653;0.0;hold
141;2020-07-28;1.1767;1.1776;1.1701;1.1769;1.1769;0.0;hold
142;2020-07-29;1.1721;1.1779;1.1715;1.1719;1.1719;0.0;hold
143;2020-07-30;1.1787;1.1807;1.1733;1.1783;1.1783;0.0;hold
144;2020-07-31;1.1874;1.1908;1.1803;1.1872;1.1872;0.0;hold
145;2020-03-08;1.1784;1.1788;1.1701;1.1782;1.1782;0.0;hold
146;2020-04-08;1.1761;1.1805;1.1724;1.1763;1.1763;0.0;hold
147;2020-05-08;1.1815;1.1905;1.18;1.1815;1.1815;0.0;hold
148;2020-06-08;1.1874;1.1912;1.1821;1.1873;1.1873;0.0;hold
149;2020-07-08;1.1875;1.1884;1.1757;1.1876;1.1876;0.0;hold
150;2020-10-08;1.1782;1.1802;1.1743;1.1783;1.1783;0.0;hold
151;2020-11-08;1.1738;1.1805;1.1723;1.1738;1.1738;0.0;hold
152;2020-12-08;1.174;1.1813;1.1713;1.1737;1.1737;0.0;hold
